current_time,frame_processing_main
0.0,29.5014852724944
0.000997,29.39821514450294
0.038051,28.331868205964202
0.074797,30.27794393563942
0.114701,29.27719971056868
0.149868,29.530121116629452
0.186766,28.607244652257098
0.221666,28.332415140486464
0.257582,29.993582958806183
0.295216,28.143619899710867
0.330376,30.270722980825745
0.367265,27.813981875161918
0.402178,28.624746206519372
0.43907,28.269947875266435
0.47499,28.609231707762337
0.51287,29.51343766805786
0.548779,28.917280186456694
0.583685,30.162643744390245
0.619592,29.49409055585521
0.654479,28.89534342339897
0.689409,28.181558514480955
0.726278,30.203244071564676
0.763223,27.839400226517878
0.798882,28.951693637110413
0.835996,28.827392528366833
0.872682,28.379115330476345
0.908617,29.10072174696414
0.945471,29.909905724010123
0.9834,28.155139783254306
1.019284,28.173912845577547
1.056182,28.897213396341677
1.093197,29.77718551268282
1.129977,29.183893884249095
1.165144,28.21759522293871
1.201817,28.05163679434221
1.239723,29.928721983003637
1.2766,30.158440827515456
1.318737,28.860417303344867
1.353633,29.025623837394
1.389495,29.72112072002827
1.426203,28.3765574138606
1.461238,27.89014252910449
1.498992,29.266139137204885
1.536172,28.543441300235997
1.572063,28.38844440539281
1.60996,28.710444547776053
1.647612,29.140774998725494
1.683755,28.94075077659728
1.719671,29.534520491297396
1.755578,28.969160455210197
1.790217,29.78212867432381
1.826244,29.33372109055839
1.863019,29.780259442089424
1.899164,28.11048132443559
1.934086,28.225307558898624
1.970988,28.16292478099999
2.008634,30.080090155290886
2.047524,28.331886971483577
2.082549,29.770415539474488
2.120604,29.15599334077318
2.15551,28.430206168093004
2.192138,27.884082512984403
2.2303,29.62965454100279
2.267193,29.065689954904524
2.302842,28.42069460091703
2.339006,28.10786834744591
2.376691,28.019512606604657
2.414547,28.987080612872532
2.451704,28.35494231893087
2.487608,28.682844794262106
2.524514,29.44644942238664
2.560196,28.011205754695176
2.601329,28.99777044909932
2.638211,29.67666899682412
2.674113,29.19423482176461
2.709755,29.156624704257187
2.745907,28.328145017006523
2.781838,29.90705885385637
2.81872,29.586809267919744
2.853646,28.846463614862557
2.888536,30.180536534140483
2.924474,28.54101188666969
